Year,aktiivne,indeks,total,indeks_%,pillar
2019,4370406073,180312595,4550718668,3.9622883363002037,II
2020,4777372210,290000824,5067373034,5.722902617474836,II
2021,3783564875,477115061,4260679936,11.198096739646768,II
2022,3261382518,591454711,3852837229,15.351147111748384,II
2023,3726353097,1012367315,4738720412,21.363727482979428,II
2024,4274607609,1635921235,5910528844,27.678085636290994,II
2025,4653256414,2153114986,6806371400,31.633815721545844,II
2019,185023843,14507237,199531080,7.270665301866757,III
2020,204284827,45779944,250064771,18.30723448845979,III
2021,257391076,124476663,381867739,32.59679996167469,III
2022,247119532,171785193,418904725,41.008177456102935,III
2023,305574148,299259956,604834104,49.4780228199566,III
2024,384599349,499050390,883649739,56.476041125158986,III
2025,451870743,675332326,1127203069,59.91221498350977,III
